date,intensity
2018-09-01,15317.0
2018-08-30,21614.0
2018-08-24,18674.0
2018-08-19,15291.0
2018-08-18,12377.0
2018-08-17,18277.0
2018-08-16,18653.0
2018-08-15,19389.0
2018-08-14,16070.0
2018-08-13,19432.0
2018-08-12,19389.0
2018-08-11,5671.0
2018-08-10,13788.0
2018-08-09,20596.0
2018-08-08,21345.0
2018-08-07,22673.0
2018-08-06,20452.0
2018-08-05,11986.0
2018-08-04,13176.0
2018-08-03,18475.0
2018-08-02,20190.0
2018-08-01,18637.0
2018-07-31,19162.0
2018-07-30,16148.0
2018-07-29,9703.0
2018-07-28,13692.0
2018-07-27,18824.0
2018-07-26,18089.0
2018-07-25,21588.0
2018-07-24,24432.0
2018-07-23,21279.0
2018-07-22,19248.0
2018-07-21,17072.0
2018-07-20,13983.0
2018-07-19,7774.0
2018-07-18,5672.0
2018-07-17,5131.0
2018-07-16,13896.0
2018-07-15,11958.0
2018-07-14,6200.0
2018-07-13,12335.0
2018-07-12,18899.0
2018-07-11,11919.0
2018-07-10,18084.0
2018-07-09,17121.0
2018-07-08,18041.0
2018-07-07,14367.0
2018-07-06,14440.0
2018-07-05,23781.0
2018-07-04,24517.0
2018-07-03,21026.0
2018-07-02,18494.0
2018-07-01,6612.0
2018-06-30,7938.0
2018-06-29,17579.0
2018-06-28,6095.0
2018-06-27,15658.0
2018-06-26,17049.0
2018-06-25,15232.0
2018-06-24,3424.0
2018-06-23,4236.0
2018-06-22,13564.0
2018-06-21,18170.0
2018-06-20,21577.0
2018-06-19,19139.0
2018-06-18,14448.0
2018-06-17,17603.0
2018-06-16,13651.0
2018-06-15,16607.0
2018-06-14,13857.0
2018-06-13,13570.0
2018-06-12,9648.0
2018-06-11,20448.0
2018-06-10,17998.0
2018-06-09,15648.0
2018-06-08,22390.0
2018-06-07,25256.0
2018-06-06,24230.0
2018-06-05,23318.0
2018-06-04,22962.0
2018-06-03,13343.0
2018-06-02,9944.0
2018-06-01,15233.0
2018-05-31,21128.0
2018-05-30,22783.0
2018-05-29,25758.0
2018-05-28,25491.0
2018-05-27,18698.0
2018-05-26,14260.0
2018-05-25,21051.0
2018-05-24,24109.0
2018-05-23,19667.0
2018-05-22,24250.0
2018-05-21,21810.0
2018-05-20,19256.0
2018-05-19,12050.0
2018-05-18,6930.0
2018-05-17,5613.0
2018-05-16,10863.0
2018-05-15,15260.0
2018-05-14,20595.0
2018-05-13,23586.0
2018-05-12,18214.0
2018-05-11,18277.0
2018-05-10,24124.0
2018-05-09,18317.0
2018-05-08,16577.0
2018-05-07,22919.0
2018-05-06,19701.0
2018-05-05,16916.0
2018-05-04,16042.0
2018-05-03,21847.0
2018-05-02,12382.0
2018-05-01,23103.0
2018-04-30,16438.0
2018-04-29,16096.0
2018-04-28,16737.0
2018-04-27,18151.0
2018-04-26,15159.0
2018-04-25,21553.0
2018-04-24,18178.0
2018-04-23,15813.0
2018-04-22,22083.0
2018-04-21,18959.0
2018-04-20,21217.0
2018-04-19,22158.0
2018-04-18,21410.0
2018-04-17,14565.0
2018-04-16,11984.0
2018-04-15,22819.0
2018-04-14,18295.0
2018-04-13,14385.0
2018-04-12,21855.0
2018-04-11,19223.0
2018-04-10,17038.0
2018-04-09,19409.0
2018-04-08,22584.0
2018-04-07,13228.0
2018-04-06,9962.0
2018-04-05,12589.0
2018-04-04,13148.0
2018-04-03,10270.0
2018-04-02,2417.0
2018-04-01,429.0
2018-03-31,1987.0
2018-03-30,6212.0
2018-03-29,4610.0
2018-03-28,6128.0
2018-03-27,3840.0
2018-03-26,5902.0
2018-03-25,6464.0
2018-03-24,3559.0
2018-03-23,4192.0
2018-03-22,4388.0
2018-03-21,2958.0
2018-03-20,2149.0
2018-03-19,1731.0
2018-03-18,448.0
2018-03-17,679.0
2018-03-16,2310.0
2018-03-15,4803.0
2018-03-14,4790.0
2018-03-13,7587.0
2018-03-12,8015.0
2018-03-11,9598.0
2018-03-10,3908.0
2018-03-09,4046.0
2018-03-08,4649.0
2018-03-07,3414.0
2018-03-06,2927.0
2018-03-05,2527.0
2018-03-04,720.0
2018-03-03,570.0
2018-03-02,1451.0
2018-03-01,1574.0
2018-02-28,1567.0
2018-02-27,1516.0
2018-02-26,1496.0
2018-02-25,463.0
2018-02-24,558.0
2018-02-23,1917.0
2018-02-22,2376.0
2018-02-21,2539.0
2018-02-20,2674.0
2018-02-19,3012.0
2018-02-18,1004.0
2018-02-17,1336.0
2018-02-16,2112.0
2018-02-15,2221.0
2018-02-14,2215.0
2018-02-13,2545.0
2018-02-12,2559.0
2018-02-11,814.0
2018-02-10,845.0
2018-02-09,2011.0
2018-02-08,1960.0
2018-02-07,2676.0
2018-02-06,2889.0
2018-02-05,2982.0
2018-02-04,963.0
2018-02-03,1539.0
2018-02-02,3069.0
2018-02-01,3494.0
2018-01-31,4104.0
2018-01-30,3462.0
2018-01-29,3608.0
2018-01-28,1048.0
2018-01-27,1186.0
2018-01-26,2881.0
2018-01-25,3287.0
2018-01-24,2741.0
2018-01-23,2386.0
2018-01-22,2063.0
2018-01-21,407.0
2018-01-20,1202.0
2018-01-19,2683.0
2018-01-18,2697.0
2018-01-17,2759.0
2018-01-16,3021.0
2018-01-15,3249.0
2018-01-14,1390.0
2018-01-13,1255.0
2018-01-12,3123.0
2018-01-11,3465.0
2018-01-10,4040.0
2018-01-09,3540.0
2018-01-08,2938.0
2018-01-07,1192.0
2018-01-06,2288.0
2018-01-05,4053.0
2018-01-04,4337.0
2018-01-03,3502.0
2018-01-02,2895.0
2018-01-01,1274.0
2017-12-31,1145.0
2017-12-30,1631.0
2017-12-29,1487.0
2017-12-28,2639.0
2017-12-27,2626.0
2017-12-26,1253.0
2017-12-25,1134.0
2017-12-24,389.0
2017-12-23,671.0
2017-12-22,2329.0
2017-12-21,2897.0
2017-12-20,3277.0
2017-12-19,3598.0
2017-12-18,3341.0
2017-12-17,1231.0
2017-12-16,1559.0
2017-12-15,3833.0
2017-12-14,4387.0
2017-12-13,4694.0
2017-12-12,5112.0
2017-12-11,4643.0
2017-12-10,2052.0
2017-12-09,1510.0
2017-12-08,3816.0
2017-12-07,4046.0
2017-12-06,2887.0
2017-12-05,2887.0
2017-12-04,2254.0
2017-12-03,760.0
2017-12-02,1031.0
2017-12-01,2931.0
2017-11-30,2313.0
2017-11-29,3207.0
2017-11-28,5275.0
2017-11-27,4832.0
2017-11-26,1474.0
2017-11-25,3399.0
2017-11-24,6013.0
2017-11-23,6203.0
2017-11-22,4187.0
2017-11-21,4153.0
2017-11-20,3469.0
2017-11-19,2672.0
2017-11-18,2185.0
2017-11-17,3482.0
2017-11-16,5973.0
2018-09-18,18335.0
2018-09-19,16576.0
